#TYPE System.Management.Automation.PSCustomObject
"OU","Printer"
"WA017","\\wlb-print-03\English_6"
"due to user request.  Ticket #121161 - 20160229 mapping.add WA100","\\wlb-print-03\English_7"
"WC2","\\wlb-print-03\LAB_WriteCtr_1"
"WC3","\\wlb-print-03\LAB_WriteCtr_1"
"WC4","\\wlb-print-03\LAB_WriteCtr_1"
"WC5","\\wlb-print-03\LAB_WriteCtr_1"
"WC6","\\wlb-print-03\LAB_WriteCtr_1"
"WC7","\\wlb-print-03\LAB_WriteCtr_1"
"WC8","\\wlb-print-03\LAB_WriteCtr_1"
"WC8","\\wlb-print-03\CSS_1"
"WC8","\\wlb-print-03\CSS_3"
"WC9","\\wlb-print-03\LAB_WriteCtr_1"
"WC10","\\wlb-print-03\LAB_WriteCtr_1"
"WC11","\\wlb-print-03\LAB_WriteCtr_1"
"WC12","\\wlb-print-03\LAB_WriteCTR_1"
"WC12","\\wlb-print-03\WritingCenter_02"
"WC13","\\wlb-print-03\LAB_WriteCtr_1"
"WT201","\\wlb-print-03\Music&Theatre_1"
"WT201","\\wlb-print-03\Music&Theatre_2"
"WT201","\\wlb-print-03\Music&Theatre_3"
"WT209","\\wlb-print-03\Music&Theatre_1"
"WT209","\\wlb-print-03\Music&Theatre_2"
"WT209","\\wlb-print-03\Music&Theatre_3"
"WT220","\\wlb-print-03\Music&Theatre_1"
"WT220","\\wlb-print-03\Music&Theatre_2"
"WT220","\\wlb-print-03\Music&Theatre_3"
"Web Factory","\\wlb-print-03\info_mgmt_1"
"Web Factory","\\wlb-print-03\info_mgmt_3"
"Web Factory","\\wlb-print-03\info_mgmt_4"
"Writing Center","\\wlb-print-03\LAB_WriteCTR_1"
"BC118","\\wlb-print-03\LAB_BMC118_1"
"BC118","\\wlb-print-03\LAB_BMC118_2"
"BC118","\\wlb-print-03\NursingClinic_1"
"BC118","\\wlb-print-03\Nursing_1"
"BC104","\\wlb-print-03\NursingClinic_1"
"PZ207","\\wlb-print-03\LAB_PZ207_1"
"1st Floor Lab","\\wlb-print-03\LAB_STUCTR_2"
"AS_Lab_431","\\wlb-print-03\LAB_AS431_1"
"AS_Lab_432","\\wlb-print-03\LAB_AS432_1"
"Atrium Science","\\wlb-print-03\LAB_AS432_1"
"Atrium Science","\\wlb-print-03\LAB_AS432_2"
